,asin,title,description,brand,date,price
16,B0000WA0VW,"Furniture At Work(R) Hampton Leather Executive Chair, Black","['Classic leather seating surfaces with ribbing for a sleek look in any office Ribbed cushions add style. Streamline your office\'s appearance! Neat, symmetrical vertical ribbing in the backrest and seat add an air of classical elegance. Lumbar feature supports your lower back and enhances the natural curve of your spine. Contoured 26 1/2"" backrest makes sure you get the support where you need it most. Thick seat and back cushions provide ergonomic support for hours of comfortable sitting. 1-touch seat-height adjustment for perfect posture. With a pneumatic height adjustment, you don\'t have to move to adjust the height of your chair, simply pull on the lever and you\'re in position. Adjust your seat until feet rest flat on the floor, with thighs and lower legs at a 90 angle, for your comfort and health. Tilt controls for ideal positioning. Enjoy the options and versatility that tilt tension and tilt lock offer you. Adjustable tilt tension lets you adjust the chair\'s recline resistance  match it to your body weight and strength for comfortable rocking or reclining. Then, simply lock the angle into position with tilt lock. Dual-wheel casters for easy mobility. Move from task to task effortlessly  without getting up! Smooth-rolling casters let you roll easily over carpeted floors for maximum mobility in the office. The 5-star base keeps you balanced as you roll, rock or recline. Recommended for casual use 0-3 hours per day. Recommended for professionals who work in a seated position for up to 3 hours a day. Easy assembly instructions included. Measures 41""- 45""H x 24 1/2""W x 19 1/2""D. Backed by the manufacturer\'s 5-year warranty. Relax and enjoy  your investment is protected for up to 5 years.']",Office Depot,"October 31, 2003",
17,B0000WA0VW,"Furniture At Work(R) Hampton Leather Executive Chair, Black","['Classic leather seating surfaces with ribbing for a sleek look in any office Ribbed cushions add style. Streamline your office\'s appearance! Neat, symmetrical vertical ribbing in the backrest and seat add an air of classical elegance. Lumbar feature supports your lower back and enhances the natural curve of your spine. Contoured 26 1/2"" backrest makes sure you get the support where you need it most. Thick seat and back cushions provide ergonomic support for hours of comfortable sitting. 1-touch seat-height adjustment for perfect posture. With a pneumatic height adjustment, you don\'t have to move to adjust the height of your chair, simply pull on the lever and you\'re in position. Adjust your seat until feet rest flat on the floor, with thighs and lower legs at a 90 angle, for your comfort and health. Tilt controls for ideal positioning. Enjoy the options and versatility that tilt tension and tilt lock offer you. Adjustable tilt tension lets you adjust the chair\'s recline resistance  match it to your body weight and strength for comfortable rocking or reclining. Then, simply lock the angle into position with tilt lock. Dual-wheel casters for easy mobility. Move from task to task effortlessly  without getting up! Smooth-rolling casters let you roll easily over carpeted floors for maximum mobility in the office. The 5-star base keeps you balanced as you roll, rock or recline. Recommended for casual use 0-3 hours per day. Recommended for professionals who work in a seated position for up to 3 hours a day. Easy assembly instructions included. Measures 41""- 45""H x 24 1/2""W x 19 1/2""D. Backed by the manufacturer\'s 5-year warranty. Relax and enjoy  your investment is protected for up to 5 years.']",Office Depot,"October 31, 2003",
18,B0000Y7DY2,"Bexley Executive Leather Chair, Black",[],Office Depot,"November 7, 2003",
19,B0000Y7DY2,"Bexley Executive Leather Chair, Black",[],Office Depot,"November 7, 2003",
20,B00016ZMDI,"Furniture At Work(R) Ashton Fabric Task Chair, Gray",[],Office Depot,,
21,B00016ZMDI,"Furniture At Work(R) Ashton Fabric Task Chair, Gray",[],Office Depot,,
22,B00020R3GC,"Office Star EX5162-4 Leather High-Back Office Chair, Burgundy",['Deluxe High Back Executive Burgundy Top Grain Leather Chair with Padded Loop Arms. Thick Padded Contour Seat and Back with Built-in Lumbar Support. One Touch Pneumatic Seat Height Adjustment. Locking Tilt Control with Adjustable Tilt Tension. Padded Loop Arms. Top Grain Leather: (-4) Burgundy. Heavy Duty Nylon Base with Dual Wheel Carpet Casters.'],Office Star,"May 13, 2004",$28.40
23,B00020R3GC,"Office Star EX5162-4 Leather High-Back Office Chair, Burgundy",['Deluxe High Back Executive Burgundy Top Grain Leather Chair with Padded Loop Arms. Thick Padded Contour Seat and Back with Built-in Lumbar Support. One Touch Pneumatic Seat Height Adjustment. Locking Tilt Control with Adjustable Tilt Tension. Padded Loop Arms. Top Grain Leather: (-4) Burgundy. Heavy Duty Nylon Base with Dual Wheel Carpet Casters.'],Office Star,"May 13, 2004",$28.40
24,B00021RFBE,"Michael Scott Berkshire Road Desk Chair, Antique Black","['Based on the classic American Schoolhouse chair, ours are updated with pneumatic lift that makes height adjustment a cinch. We invite you to compare to higher priced models from our competitors with manual lifts. Tilts and swivels. Hand rubbed finishes available in Antique Black and Antique Cream.']",Michael Scott,"August 1, 2004",
25,B00021RFBE,"Michael Scott Berkshire Road Desk Chair, Antique Black","['Based on the classic American Schoolhouse chair, ours are updated with pneumatic lift that makes height adjustment a cinch. We invite you to compare to higher priced models from our competitors with manual lifts. Tilts and swivels. Hand rubbed finishes available in Antique Black and Antique Cream.']",Michael Scott,"August 1, 2004",
26,B0002AZ0CQ,Fabric Executive Office Chair with Lumbar Support Fabric Color: Grey,"[""B8306-GY Fabric Color: Grey Features: -Passive ergonomic seating with built in lumbar support.-Upright locking position.-Pneumatic gas lift seat height adjustment.-Adjustable tilt tension control.-Large 27'' nylon base for greater stability.-Hooded double wheel casters.-Weight capacity: 250 lbs. Options: -Upholstered in black or grey fabric. Dimensions: -Back size: 20'' W x 24'' H.-Seat size: 20'' W x 20'' D.-Seat height: 18'' - 21'' H.-Overall dimensions: 40'' - 44'' H x 27'' W x 27'' D. Disclaimer: -Please Note: Orders of 6 chairs or more will ship Truck-Freight..""]",Boss Office Products,"July 29, 2004",
27,B0002AZ0CQ,Fabric Executive Office Chair with Lumbar Support Fabric Color: Grey,"[""B8306-GY Fabric Color: Grey Features: -Passive ergonomic seating with built in lumbar support.-Upright locking position.-Pneumatic gas lift seat height adjustment.-Adjustable tilt tension control.-Large 27'' nylon base for greater stability.-Hooded double wheel casters.-Weight capacity: 250 lbs. Options: -Upholstered in black or grey fabric. Dimensions: -Back size: 20'' W x 24'' H.-Seat size: 20'' W x 20'' D.-Seat height: 18'' - 21'' H.-Overall dimensions: 40'' - 44'' H x 27'' W x 27'' D. Disclaimer: -Please Note: Orders of 6 chairs or more will ship Truck-Freight..""]",Boss Office Products,"July 29, 2004",
28,B0002AZ12K,Boss Office Products B1002-GY High Back Task Chair in Grey,"['The High-Back Multi-Tilter Office Chair with Adjustable Arms by Boss Office Products in gray is the perfect chair for home to office use. With upholstered, commercial grace fabric, the seat and back are made with molded foam that hugs the contours of your body. The ratchet back height adjustment feature allows you to position the back cushion perfectly for the proper level of lumbar support, minimizing aches and pains from extended periods of sitting. Measuring 27 D by 30.5 W and 38 to 42 H with a 27 nylon base, the chair is comfortable and stable. Tilt and height adjustment features ensure users up to 250 pounds can easily use the chair.']",Boss Office Products,"July 29, 2004",
29,B0002AZ12K,Boss Office Products B1002-GY High Back Task Chair in Grey,"['The High-Back Multi-Tilter Office Chair with Adjustable Arms by Boss Office Products in gray is the perfect chair for home to office use. With upholstered, commercial grace fabric, the seat and back are made with molded foam that hugs the contours of your body. The ratchet back height adjustment feature allows you to position the back cushion perfectly for the proper level of lumbar support, minimizing aches and pains from extended periods of sitting. Measuring 27 D by 30.5 W and 38 to 42 H with a 27 nylon base, the chair is comfortable and stable. Tilt and height adjustment features ensure users up to 250 pounds can easily use the chair.']",Boss Office Products,"July 29, 2004",
30,B0002BHML2,Boss Office Products B9090-BE Dimond Task Chair without Arms in Blue,"['Attractive in color, the Boss Diamond Task Chair In Blue by Boss Office Products features an extra large seat and wide back cushions. The lightweight chair comes in at 26 pounds and is able to accommodate 250 pounds. There\'s a contoured back that promotes good posture and helps to support the back so that users don\'t feel any strain while working. The unit measures 19.5"" W x 25"" D x 32-40"" H with the height being adjustable using the pneumatic gas lift. When looking to match this comfortable desk chair with additional office decor, consider the other available colors of red, grey or black.']",Boss Office Products,"July 29, 2004",$14.19
31,B0002BHML2,Boss Office Products B9090-BE Dimond Task Chair without Arms in Blue,"['Attractive in color, the Boss Diamond Task Chair In Blue by Boss Office Products features an extra large seat and wide back cushions. The lightweight chair comes in at 26 pounds and is able to accommodate 250 pounds. There\'s a contoured back that promotes good posture and helps to support the back so that users don\'t feel any strain while working. The unit measures 19.5"" W x 25"" D x 32-40"" H with the height being adjustable using the pneumatic gas lift. When looking to match this comfortable desk chair with additional office decor, consider the other available colors of red, grey or black.']",Boss Office Products,"July 29, 2004",$14.19
32,B0006NDCFQ,Herman Miller Aeron Chairs Size B Basic,['Lumbar Support  Size B Fully Loaded<br>Rear Tilt Lock/ Forward Tilt<br>Fully Loaded Chair<br>Tension Control'],Herman Miller,"October 2, 2001",$74.99
33,B0006UWWNC,Sensible Seating Mid Back Pneumatic Swivel Chair,"['Ergonomically designed seating in which the frame and cushions flex, automatically adjusting to each body movement. Sculptured profile cradles the body. Enclosed inner steel black frame. Upholstery is treated for stain-resistant protection. Meets or exceeds ANSI/BIFMA standards. Back automatically reclines 2 for every 1 seat pitch adjustment. Optional Arms sold and shipped separately. Chair Type: Rolling Chair; Folding/Stacking: NA; Width: NA; Depth: NA.']",HON,"December 2, 2004",
34,B000BIAMEU,"SPACE Seating Light AirGrid Back and Leather Seat, 2-to-1 Synchro Tilt Control, Adjustable Lumbar and Platinum Finish Base Executives Chair with Adjustable Headrest, Black",['Contemporary styling combined with durable Air Grid mesh delivers office seating that is comfortable yet stylish. Breathable Air Grid mesh offers strong support for seated tasks. Soft polyurethane padded arms for enhanced comfort. Adjustable lumbar supp.'],Office Star,"December 14, 2005",".a-box-inner{background-color:#fff}#alohaBuyBoxWidget .selected{background-color:#fffbf3;border-color:#e77600;box-shadow:0 0 3px rgba(228,121,17,.5)}#alohaBuyBoxWidget .contract-not-available{color:gray}#aloha-cart-popover .aloha-cart{height:auto;overflow:hidden}#aloha-cart-popover #aloha-cartInfo{float:left}#aloha-cart-popover #aloha-cart-details{float:right;margin-top:1em}#aloha-cart-popover .deviceContainer{width:160px;float:left;padding-right:10px;border-right:1px solid #ddd}#aloha-cart-popover li:last-child{border-right:0}#aloha-cart-popover .aloha-device-title{height:3em;overflow:hidden}#aloha-cart-popover .aloha-thumbnail-container{height:100px;margin-bottom:1em;text-align:center}#aloha-cart-popover .aloha-price-container{text-align:center}#aloha-cart-popover .aloha-thumbnail-container img{height:inherit}#aloha-cart-popover .aloha-cart{border-top:1px solid #ddd;border-bottom:1px solid #ddd}#aloha-cart-popover #aloha-cart-info{margin-right:0}#alohaBuyBoxWidget .without-contract-subheading{margin-right:0}#aloha-bb-help-nodes .aloha-bb-contract-term-heading{color:gray;font-family:arial;margin-top:.5em;text-align:center;height:.7em;border-bottom:1px solid gray;margin-bottom:1.6em}#aloha-bb-help-nodes .aloha-bb-contract-term-heading span{background-color:#fff;padding:0 10px 0 10px}#alohaAvailabilityUS_feature_div .availability a{text-decoration:none}#alohaPricingWidget a{text-decoration:none}#alohaAvailabilityUS_feature_div .availability{margin-top:-4px;margin-bottom:0}#alohaBuyBoxWidget .select-transaction-alert .a-icon-alert{top:18px;left:3px}#alohaBuyBoxWidget .select-transaction-alert .a-alert-container{padding-left:39px;width:290px}#alohaBuyBoxUS_feature_div #alohaBuyBoxWidget .contract-container .contract-term-heading a{text-decoration:none}#alohaBuyBoxUS_feature_div #alohaBuyBoxWidget .annual-contract-box .a-icon-popover{display:none}#alohaBuyBoxUS_feature_div #alohaBuyBoxWidget .contract-container .annual-contract-box{cursor:pointer;cursor:hand}#alohaBuyBoxUS_feature_div #alohaBuyBoxWidget .aloha-buybox-price{font-size:15px}#alohaBuyBoxUS_feature_div #alohaBuyBoxWidget #linkOffSection a{text-decoration:none}#alohaBuyBoxUS_feature_div .lockedUsedBuyboxContainer{padding-left:3.5%}#alohaBuyBoxUS_feature_div .alohaBuyboxUtilsNoWrap{white-space:nowrap}.hidden{display:none}.simo-no-padding{padding:0}.carrier-reviews-cell{padding-left:10px}.carrier-reviews-bordered-cell{border:1px dotted #ccc}.carrier-reviews-selected-cell{background-color:#ffd}#aloha-carrier-compatibility-modal-table-description{margin-top:10px;margin-bottom:14px}.aloha-carrier-compatibility-sortable-header.carrier{min-width:97px}.aloha-carrier-compatibility-sortable-header.compatibility{min-width:156px}.aloha-carrier-compatibility-sortable-header div{float:left}.aloha-carrier-compatibility-sortable-header i.a-icon{margin-left:10px;margin-top:4px}#aloha-carrier-compatibility-overview-table.a-bordered.a-vertical-stripes td:nth-child(2n),#aloha-carrier-compatibility-overview-table.a-bordered.a-vertical-stripes th:nth-child(2n){background-color:initial}#aloha-carrier-compatibility-modal-table.a-bordered.a-vertical-stripes td:nth-child(2n),#aloha-carrier-compatibility-modal-table.a-bordered.a-vertical-stripes th:nth-child(2n){background-color:initial}#aloha-carrier-compatibility-table.a-bordered.a-vertical-stripes th:nth-child(2n),.aloha-carrier-compatibility-table.a-bordered.a-vertical-stripes td:nth-child(2n){background-color:transparent}.aloha-carrier-compatibility-column-gray{background-color:#f6f6f6}.aloha-carrier-compatibility-modal-table-row .aloha-carrier-compatibility-tech-text,.aloha-carrier-compatibility-modal-table-row .carrier-name,.aloha-carrier-compatibility-modal-table-row .carrier-rating-summary{min-height:27px;display:inline-block;cursor:default}.aloha-carrier-compatibility-modal-table-row .aloha-carrier-compatibility-tech-text:first-line,.aloha-carrier-compatibility-modal-table-row .carrier-name:first-line,.aloha-carrier-compatibility-modal-table-row .carrier-rating-summary:first-line{line-height:27px}.aloha-carrier-compatibility-modal-table-row .aloha-carrier-compatibility-icon{margin-top:6px}.aloha-carrier-compatibility-check-icon{width:30px;height:27px;background-position:-318px -35px;background-image:url(https://images-na.ssl-images-amazon.com/images/G/01/AUIClients/AmazonUIBaseCSS-sprite_2x-8e7ef370dc28a214b3f490c9620f4ac501d5a864._V2_.png);background-repeat:no-repeat;background-size:400px 650px;display:inline-block;vertical-align:top}.aloha-carrier-compatibility-hidden{display:none}.aloha-buybox-spaced-link{margin-top:12px;margin-bottom:7px;text-align:center}.popover-tab"
35,B000BIAMK4,Office Star Light Air Grid Chair with Leather Seat and Platinum Accents,"[""The 36 Series professional Air Grid Leather chairs will not sacrifice comfort. They're an incredibly cool look without loss of resilience or stability. Featuring adjustable lumbar support, 2-to-1 synchro tilt, seat height adjustment and platinum finish base. Also available with headrest (36806) and a guest chair (3685). Your chair will be the talk of any office.""]",Office Star,"January 13, 2006",".a-box-inner{background-color:#fff}#alohaBuyBoxWidget .selected{background-color:#fffbf3;border-color:#e77600;box-shadow:0 0 3px rgba(228,121,17,.5)}#alohaBuyBoxWidget .contract-not-available{color:gray}#aloha-cart-popover .aloha-cart{height:auto;overflow:hidden}#aloha-cart-popover #aloha-cartInfo{float:left}#aloha-cart-popover #aloha-cart-details{float:right;margin-top:1em}#aloha-cart-popover .deviceContainer{width:160px;float:left;padding-right:10px;border-right:1px solid #ddd}#aloha-cart-popover li:last-child{border-right:0}#aloha-cart-popover .aloha-device-title{height:3em;overflow:hidden}#aloha-cart-popover .aloha-thumbnail-container{height:100px;margin-bottom:1em;text-align:center}#aloha-cart-popover .aloha-price-container{text-align:center}#aloha-cart-popover .aloha-thumbnail-container img{height:inherit}#aloha-cart-popover .aloha-cart{border-top:1px solid #ddd;border-bottom:1px solid #ddd}#aloha-cart-popover #aloha-cart-info{margin-right:0}#alohaBuyBoxWidget .without-contract-subheading{margin-right:0}#aloha-bb-help-nodes .aloha-bb-contract-term-heading{color:gray;font-family:arial;margin-top:.5em;text-align:center;height:.7em;border-bottom:1px solid gray;margin-bottom:1.6em}#aloha-bb-help-nodes .aloha-bb-contract-term-heading span{background-color:#fff;padding:0 10px 0 10px}#alohaAvailabilityUS_feature_div .availability a{text-decoration:none}#alohaPricingWidget a{text-decoration:none}#alohaAvailabilityUS_feature_div .availability{margin-top:-4px;margin-bottom:0}#alohaBuyBoxWidget .select-transaction-alert .a-icon-alert{top:18px;left:3px}#alohaBuyBoxWidget .select-transaction-alert .a-alert-container{padding-left:39px;width:290px}#alohaBuyBoxUS_feature_div #alohaBuyBoxWidget .contract-container .contract-term-heading a{text-decoration:none}#alohaBuyBoxUS_feature_div #alohaBuyBoxWidget .annual-contract-box .a-icon-popover{display:none}#alohaBuyBoxUS_feature_div #alohaBuyBoxWidget .contract-container .annual-contract-box{cursor:pointer;cursor:hand}#alohaBuyBoxUS_feature_div #alohaBuyBoxWidget .aloha-buybox-price{font-size:15px}#alohaBuyBoxUS_feature_div #alohaBuyBoxWidget #linkOffSection a{text-decoration:none}#alohaBuyBoxUS_feature_div .lockedUsedBuyboxContainer{padding-left:3.5%}#alohaBuyBoxUS_feature_div .alohaBuyboxUtilsNoWrap{white-space:nowrap}.hidden{display:none}.simo-no-padding{padding:0}.carrier-reviews-cell{padding-left:10px}.carrier-reviews-bordered-cell{border:1px dotted #ccc}.carrier-reviews-selected-cell{background-color:#ffd}#aloha-carrier-compatibility-modal-table-description{margin-top:10px;margin-bottom:14px}.aloha-carrier-compatibility-sortable-header.carrier{min-width:97px}.aloha-carrier-compatibility-sortable-header.compatibility{min-width:156px}.aloha-carrier-compatibility-sortable-header div{float:left}.aloha-carrier-compatibility-sortable-header i.a-icon{margin-left:10px;margin-top:4px}#aloha-carrier-compatibility-overview-table.a-bordered.a-vertical-stripes td:nth-child(2n),#aloha-carrier-compatibility-overview-table.a-bordered.a-vertical-stripes th:nth-child(2n){background-color:initial}#aloha-carrier-compatibility-modal-table.a-bordered.a-vertical-stripes td:nth-child(2n),#aloha-carrier-compatibility-modal-table.a-bordered.a-vertical-stripes th:nth-child(2n){background-color:initial}#aloha-carrier-compatibility-table.a-bordered.a-vertical-stripes th:nth-child(2n),.aloha-carrier-compatibility-table.a-bordered.a-vertical-stripes td:nth-child(2n){background-color:transparent}.aloha-carrier-compatibility-column-gray{background-color:#f6f6f6}.aloha-carrier-compatibility-modal-table-row .aloha-carrier-compatibility-tech-text,.aloha-carrier-compatibility-modal-table-row .carrier-name,.aloha-carrier-compatibility-modal-table-row .carrier-rating-summary{min-height:27px;display:inline-block;cursor:default}.aloha-carrier-compatibility-modal-table-row .aloha-carrier-compatibility-tech-text:first-line,.aloha-carrier-compatibility-modal-table-row .carrier-name:first-line,.aloha-carrier-compatibility-modal-table-row .carrier-rating-summary:first-line{line-height:27px}.aloha-carrier-compatibility-modal-table-row .aloha-carrier-compatibility-icon{margin-top:6px}.aloha-carrier-compatibility-check-icon{width:30px;height:27px;background-position:-318px -35px;background-image:url(https://images-na.ssl-images-amazon.com/images/G/01/AUIClients/AmazonUIBaseCSS-sprite_2x-8e7ef370dc28a214b3f490c9620f4ac501d5a864._V2_.png);background-repeat:no-repeat;background-size:400px 650px;display:inline-block;vertical-align:top}.aloha-carrier-compatibility-hidden{display:none}.aloha-buybox-spaced-link{margin-top:12px;margin-bottom:7px;text-align:center}.popover-tab"
36,B000CCFIFS,Vertex Sit N Kneel,"['This is perfect for the avid gardener!   Do you spend at least 30 minutes in your yard a week? The Comfort Garden Kneeler reduces strain on lower back and knees. This kneeler has soft cushion kneeling pads, an adjustable height padded seat and is light weight. Use this versatile seating and kneeling device in the garden, or generally working around the house or garage. You can even bring it with you camping, fishing, or hunting!  Reduces strain on lower back and knees. Adjustable height padded seat. Soft cushioned kneeling pads. Very Stable. Recommended weight capacity  250lbs. Foldable with carrying handle.']",Vertex - Domestic,,
37,B000EFMIRE,"Lorell Hi-Back Executive Chair, 25-3/4 by 29-3/4 by 45-1/2-Inch, Black Leather","['Executive high-back chair offers genuine tufted leather overstuffed cushions, oversized seat and back, five-star nylon base with dual-wheel casters and contemporary style arms. Functions include pneumatic seat-height adjustment, 360-degree swivel, tilt, tilt tension control and tilt lock. Waterfall seat design reduces leg fatigue. Available in black frame only. Chair meets the CA117 fire-retardant standard.']",Lorell,"July 5, 2006",$28.40
38,B000EFOOTY,"Lorell High-Back Multi-Task Chair, 26-7/8 by 26 by 39-Inch to 42-Inch-1/2-Inch, Gray","['Deep molded seat and back of this high-back, multi-task chair provide added comfort. The chair also features pronounced lumbar support with 2"" back height adjustment. Posture control allows pneumatic seat-height adjustment (18-9/10"" to 22-2/5""), back-height adjustment, 360-degree swivel and asynchronous control. Adjustable height and width arms provide additional comfort. Chair is available in black frame only. The fabric is 100 percent acrylic. Abrasion rating is 30,000 cycles. The back measures 20-1/2"" wide x 7"" thick x 23"" high. Chair offers a 225 lb. capacity.']",Lorell,"April 18, 2008",$28.40
39,B000EFQTSS,"Lorell Hi-Back Executive Chair, 26 by 29-1/2 by 49-13/16-Inch, Black Leather","['Executive high-back chair offers a fully upholstered design with black, split leather for a rich classic look. Black frame has stylish open loop arms and five-star nylon base with casters for mobility. Functions include pneumatic seat-height adjustment, 360-degree swivel, tilt and tilt tension. High-back chair meets the CA117 fire-retardant standard.']",Lorell,"July 5, 2006",$21.29
40,B000EGI0WK,Aeron Chair by Herman Miller - Official Retailer - Highly Adjustable - Graphite Frame - Lumbar Pad - Nickel Classic (Medium),"['Exceeding all expectations and standards of its predecessors, the Aeron Chair, with its 12-year warranty, has become the new benchmark in the arena of ergonomic office, seating.']",Herman Miller,"November 29, 2009",
41,B000EGI0X4,Mirra Chair - Fully Featured Felt Green on Graphite by Herman Miller,"[""Mirra is an innovative blend of passive and active adjustments that provides a new reference point in performance, aesthetics, and value. Mirra automatically shapes itself to each user, while a few simple adjustments fine-tune the fit and feel. The chair's next-generation innovations, including the upholstered backrest, all work together in a fresh-looking chair that's easy to use.""]",Herman Miller,"January 1, 2009",
42,B000EGI0Y8,Herman Miller Classic Aeron Side Chair: Graphite Frame/Carbon Classic Pellicle,"['The Aeron Side Chair continues the innovative tradition of the original Aeron office chair; it features the same revolutionary look, advanced ergonomics, and recyclability in a light, easy-to-move form thats perfect for any small business space, home, or office. The affordable Aeron Side Chair instantly adapts to your motions, providing comfort and support as you sit. The Aeron Side Chair will keep you supported, comfortable, and cool.', '', '<b>Features:</b>', '<b>Superior Ergonomics:</b> The Pellicle suspension conforms to your body, reduces pressure points, and provides unparalleled support.', '<b>Stay Cool:</b> The unique breathable Pellicle suspension dissipates the body heat that builds up while you work, so it keeps you cool and comfortable.', '<b>Stay Alert:</b> The high, wide, contoured back takes the pressure off your lower spine. The ""waterfall"" front edge of the seat takes the pressure off your thighs, so your blood keeps circulating and you stay alert and focused.', ""<b>It's Got the Look:</b> It fits right in, whether your home office is high-tech, elegant, casual, or a room that doubles as a gym."", '<b>Green, No Matter What the Color:</b> More than half of each chair is recycled materials, and the chair is 94 percent recyclable.', '']",Herman Miller,"December 9, 2006",
